K. Tidur,K. Mandi,L. Tanah,L. Bangunan,Tipe Properti,Sertifikat,price_juta,installment_juta,kecamatan,provinsi,Longitude,Latitude,num_facilities,outdoor_facilities,ac,security,laundry,park,published_date,num_char_desc,no_banjir,transportation
2.0,1.0,74.0,50.0,Rumah,SHM - Sertifikat Hak Milik,799.0,5.0,Ciracas,Jakarta Timur,106.87660392506864,-6.3296346,4,1,1,1,0,0,2022-07-21,259,0,0
2.0,2.0,27.0,42.0,Rumah,SHM - Sertifikat Hak Milik,538.0,3.0,Matraman,Jakarta Timur,106.86457858984426,-6.203624,1,0,0,1,0,0,2022-07-15,976,0,1
2.0,2.0,60.0,55.0,Rumah,SHM - Sertifikat Hak Milik,612.0,4.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,7,1,1,1,0,0,2022-05-27,2630,1,1
2.0,1.0,85.0,29.0,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",500.0,3.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,0,0,0,0,0,2022-05-20,334,0,0
2.0,2.0,63.0,112.0,Rumah,SHM - Sertifikat Hak Milik,735.0,5.0,Lubang Buaya,Jakarta Timur,106.89991208862855,-6.29403815,2,1,1,0,0,0,2022-05-19,410,0,1
2.0,1.0,43.0,72.0,Rumah,SHM - Sertifikat Hak Milik,748.0,5.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,0,0,0,0,0,2022-05-19,412,0,1
3.0,2.0,144.0,75.0,Rumah,SHM - Sertifikat Hak Milik,740.0,5.0,Bekasi Barat,Bekasi,106.985212,-6.2508909,4,0,0,0,1,0,2022-05-19,194,1,0
2.0,1.0,66.0,39.0,Rumah,SHM - Sertifikat Hak Milik,702.0,5.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,2,1,0,1,0,0,2022-05-19,1627,1,0
2.0,1.0,66.0,39.0,Rumah,SHM - Sertifikat Hak Milik,702.0,5.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,2,1,0,1,0,0,2022-05-19,1627,1,0
2.0,1.0,120.0,42.0,Rumah,SHM - Sertifikat Hak Milik,400.0,2.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,0,0,0,0,0,2019-07-25,179,0,1
2.0,1.0,108.0,45.0,Rumah,SHM - Sertifikat Hak Milik,800.0,5.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,2,0,0,0,0,1,2019-07-12,582,1,0
,1.0,24.0,33.0,Rumah,SHM - Sertifikat Hak Milik,500.0,3.0,Kramat Jati,Jakarta Timur,106.8701892,-6.2728548,1,0,0,0,0,0,2018-08-09,903,0,1
3.0,2.0,70.0,80.0,Rumah,SHM - Sertifikat Hak Milik,750.0,5.0,Cilangkap,Jakarta Timur,106.90805794258202,-6.333762500000001,2,1,1,0,0,0,2018-06-14,525,1,0
,,90.0,21.0,Rumah,SHM - Sertifikat Hak Milik,450.0,3.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,0,0,0,0,0,2016-02-04,53,0,1
2.0,1.0,84.0,45.0,Rumah,SHM - Sertifikat Hak Milik,355.0,2.0,Pulo Gadung,Jakarta Timur,106.89060525673162,-6.1911085,18,1,1,1,0,0,2022-08-24,664,0,0
2.0,1.0,84.0,45.0,Rumah,SHM - Sertifikat Hak Milik,355.0,2.0,Cakung,Jakarta Timur,106.94010945394294,-6.185562,14,1,1,1,0,0,2022-08-24,644,0,0
2.0,1.0,30.0,56.0,Rumah,SHM - Sertifikat Hak Milik,762.0,5.0,Matraman,Jakarta Timur,106.86457858984426,-6.203624,1,0,0,0,0,0,2022-08-24,656,0,1
2.0,1.0,32.0,41.0,Rumah,SHM - Sertifikat Hak Milik,579.0,4.0,Pasar Rebo,Jakarta Timur,106.85337593386294,-6.324972750000001,5,1,1,1,0,0,2022-06-22,902,1,1
2.0,2.0,33.0,68.0,Rumah,SHM - Sertifikat Hak Milik,726.0,5.0,Matraman,Jakarta Timur,106.86457858984426,-6.203624,1,0,0,0,0,0,2022-06-16,639,0,1
2.0,1.0,60.0,40.0,Rumah,SHM - Sertifikat Hak Milik,800.0,5.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,7,1,1,1,0,0,2022-01-27,970,0,0
2.0,1.0,30.0,57.0,Rumah,SHM - Sertifikat Hak Milik,667.0,4.0,Matraman,Jakarta Timur,106.86457858984426,-6.203624,8,1,1,1,0,0,2022-01-19,1079,0,1
,,40.0,66.0,Rumah,SHM - Sertifikat Hak Milik,700.0,5.0,Pisangan Lama,Jakarta Timur,106.8794607,-6.2138969,1,0,0,0,0,0,2022-09-27,438,0,0
2.0,1.0,72.0,55.0,Rumah,SHM - Sertifikat Hak Milik,640.0,4.0,Pulo Gadung,Jakarta Timur,106.89060525673162,-6.1911085,5,1,1,1,0,0,2022-08-24,399,1,1
2.0,1.0,35.0,18.0,Rumah,SHM - Sertifikat Hak Milik,385.0,2.0,Utan Kayu,Jakarta Timur,106.868129,-6.1956679,2,0,0,1,0,0,2022-08-23,838,0,1
2.0,1.0,26.0,48.0,Rumah,SHM - Sertifikat Hak Milik,646.0,4.0,Matraman,Jakarta Timur,106.86457858984426,-6.203624,1,0,0,0,0,0,2022-06-15,819,0,1
2.0,1.0,30.0,56.0,Rumah,SHM - Sertifikat Hak Milik,740.0,5.0,Matraman,Jakarta Timur,106.86457858984426,-6.203624,1,0,0,0,0,0,2022-06-15,799,0,1
2.0,1.0,50.0,50.0,Rumah,SHM - Sertifikat Hak Milik,500.0,3.0,Condet,Jakarta Timur,106.85820814173053,-6.277306299999999,1,0,0,0,0,0,2022-06-14,113,0,0
2.0,1.0,72.0,52.0,Rumah,SHM - Sertifikat Hak Milik,330.0,2.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,1,0,0,0,0,2022-06-14,63,0,0
3.0,3.0,90.0,86.0,Rumah,SHM - Sertifikat Hak Milik,599.0,4.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,0,1,0,0,0,2022-06-14,127,0,0
1.0,1.0,78.0,48.0,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",495.0,3.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,4,1,0,1,0,0,2021-12-01,988,0,1
2.0,2.0,90.0,60.0,Rumah,HGB - Hak Guna Bangunan,700.0,5.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,4,1,0,1,0,0,2021-12-01,990,0,1
2.0,1.0,26.0,21.0,Rumah,SHM - Sertifikat Hak Milik,365.0,2.0,Pisangan Lama,Jakarta Timur,106.8794607,-6.2138969,5,1,1,1,0,0,2021-12-01,132,0,0
2.0,1.0,78.0,48.0,Rumah,SHM - Sertifikat Hak Milik,495.0,3.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,7,1,1,1,0,0,2021-12-01,143,0,0
